,email,prediction
0,e98a93bfc7,0.4544700105587083
1,d813ccb3f5,0.6558108439091896
2,3d07a90a91,0.6019288027518616
3,5791e966d8,0.5078961796315073
4,d982336d49,0.4447455249705242
5,31f1c27b8b,0.4061930190698119
6,49b5515883,0.4858011204914448
7,1f626ad0ca,0.4870608797302004
8,cd8649b0b5,0.4801158589032768
9,2d52aff849,0.5189673598126578
10,a4888d26e0,0.7617327911630827
11,942136d8d1,0.7152348797278322
12,1b9078042b,0.8402739764896583
13,dc6d7d7321,0.4983361660669314
14,2f29f7f985,0.3943913879005915
15,d97afc96c8,0.49482474375279983
16,b5e1bb742e,0.6231932673052513
17,7479d52702,0.6594322347436896
18,eb825bb808,0.5634588349866738
19,fa5e19df4b,0.2633530516607271
20,c275a8f43b,0.6364235531487774
21,75c111adb5,0.7447545864361445
22,fc291771af,0.6002479786193179
23,37d0b8e8b6,0.5131129184633699
24,ff779b427a,0.38069006850026127
25,1e49bbaf1f,0.5113731022683088
26,f436f7fc36,0.514465676849866
27,0e235cf676,0.19039237658042812
28,0df7005b13,0.8244620656798216
29,3ebb92f34c,0.602074353523812
30,74d9b4aa20,0.6420447753573277
31,f0f62a0908,0.7418923240106026
32,8445045ca8,0.5412424759397612
33,487c0b67a9,0.5223395460989294
34,8e0354be60,0.6019504065486174
35,77915f620b,0.5693586426336491
36,7a56ebc3b3,0.5971605340430897
37,fc270b2e1f,0.5761361486635466
38,15729a0667,0.48843525161295775
39,f707f9a943,0.614286364922393
40,0c05e59e7a,0.8599586950666381
41,12d4719bf6,0.506783657952673
42,1fdc1ccdab,0.6657073827092264
43,2230a3b912,0.3267107705565032
44,e6a353d81c,0.5642573824616401
45,27d38deaa5,0.7458972152308135
46,f4b1bc7483,0.5814280872896052
47,15a56d8f1d,0.45016300476892673
48,3d4c8fc654,0.37836582808751035
49,181e9106e8,0.3615032535116797
50,35947b85c1,0.5814614768623608
51,61532cee5e,0.5514063331980728
52,c2e2c4fd8b,0.6880441357567244
53,45a5525796,0.3667859518612965
54,b091da88e5,0.8816995572519969
55,c97c5fd443,0.33393939248738497
56,a4faa25a83,0.5553607583394297
57,68a4c6f726,0.13427887623813084
58,7d79e7402b,0.6795483420865533
59,588f20c443,0.564102962079236
60,0716c90528,0.5954772363547588
61,50ba95d560,0.5528600660029137
62,690d9ed13b,0.5172045792319729
63,7ad6166185,0.42933898607169635
64,c6349d1a32,0.49042180695015697
65,979c4d6a82,0.3308777394197712
66,efb22faeff,0.6338730983066566
67,b287b43b5b,0.498353681165008
68,7b7c75c638,0.5497701328276036
69,a988468f24,0.6855087958710615
70,c1f029f521,0.3692747544484512
71,1c42833e8b,0.4278806658686042
72,410d5b81c8,0.6826524482953605
73,42eaef544c,0.5840835735612395
74,186a29e16b,0.7985319310876089
75,cfa22357d3,0.5879566085323462
